IID	pop	med.mtcopyn
HG01956	ACB	1020.32589881532
HG01958	ACB	697.972014703204
HG01961	PEL	57.0828573757128
HG01965	PEL	37.8703007077752
HG01967	PEL	34.6831400154243
HG01968	PEL	40.0803016356077
HG01970	PEL	37.0536109407884
HG01971	PEL	43.8254849747948
HG01973	PEL	37.6077013801036
HG01974	PEL	45.9812143615408
HG01976	PEL	34.4521512608193
HG01977	PEL	43.1375728341922
HG01979	PEL	41.1277767184212
HG01980	PEL	50.9435301858629
HG01982	PEL	907.548310504735
HG01983	PEL	819.482228744573
HG01985	ACB	914.639421268914
HG01986	ACB	719.648187977348
HG01988	ACB	85.6659895151106
HG01989	ACB	83.9582658756143
HG01990	ACB	802.217294706405
HG01991	PEL	77.7564484872733
HG01992	PEL	61.8447795085909
HG01997	PEL	44.3499291687906
HG02002	PEL	830.031368920578
HG02003	PEL	1027.61838806229
HG02006	PEL	821.600569131728
HG02008	PEL	40.4455406676948
HG02009	ACB	63.102612860706
HG02010	ACB	72.6576804666091
HG02012	ACB	967.060281191552
HG02013	ACB	1133.75171253786
HG02014	ACB	64.9585820260027
HG02051	ACB	968.479121899368
HG02052	ACB	1014.9356329046
HG02053	ACB	946.305499462765
HG02054	ACB	751.907020016775
HG02089	PEL	896.991397871182
HG02090	PEL	1199.24254327342
HG02095	ACB	903.21027698301
HG02102	PEL	53.9129566959581
HG02104	PEL	982.928708796735
HG02105	PEL	1164.23218582063
HG02107	ACB	804.082030694039
HG02108	ACB	874.344258500568
HG02111	ACB	692.865528489863
HG02143	ACB	1016.81412481788
HG02144	ACB	1237.09793389736
HG02146	PEL	904.551257498398
HG02147	PEL	818.497415276832
HG02150	PEL	52.6114091545162
HG02252	PEL	51.2606487832708
HG02253	PEL	42.4260818891405
HG02255	ACB	916.870545211155
HG02256	ACB	994.795524397362
HG02259	PEL	632.697109007806
HG02260	PEL	1015.63838983079
HG02262	PEL	63.7234286501011
HG02265	PEL	57.1433232270182
HG02266	PEL	69.0964921163346
HG02271	PEL	926.379380299007
HG02272	PEL	1302.34920293054
HG02274	PEL	80.7078341984694
HG02275	PEL	73.7422251220713
HG02277	PEL	1244.60883127276
HG02278	PEL	1326.49385986247
HG02281	ACB	82.3886743381657
HG02282	ACB	86.0569453270359
HG02283	ACB	929.43857566209
HG02284	ACB	784.016378684684
HG02285	PEL	1471.22461916001
HG02286	PEL	757.196222944798
HG02291	PEL	877.347625961042
HG02292	PEL	729.221316141139
HG02298	PEL	839.799108093307
HG02299	PEL	565.071090971669
HG02301	PEL	797.45957450628
HG02304	PEL	61.0597228118406
HG02307	ACB	795.757429032469
HG02308	ACB	1065.94260207157
HG02309	ACB	989.845351863165
HG02312	PEL	82.4570421297442
HG02314	ACB	678.607797593095
HG02315	ACB	1096.85590655761
HG02317	ACB	774.427422652868
HG02318	ACB	1537.28000226195
HG02322	ACB	915.15293541536
HG02323	ACB	1148.36560679816
HG02325	ACB	688.922255656513
HG02330	ACB	915.39539184254
HG02332	ACB	899.272714423818
HG02334	ACB	976.835637147394
HG02337	ACB	609.562465234065
HG02339	ACB	789.374316062645
HG02343	ACB	928.675245477223
HG02345	PEL	39.8626769906304
HG02348	PEL	35.5680275425947
HG02419	ACB	744.285530066696
HG02420	ACB	571.760357147409
HG02425	PEL	42.6493567087428
HG02427	ACB	783.999581651005
HG02429	ACB	1236.54748314938
HG02433	ACB	67.8660286503634
HG02439	ACB	81.1431151347151
HG02442	ACB	61.9490532674049
HG02445	ACB	70.5144414587082
HG02449	ACB	458.310092024617
HG02450	ACB	917.146362566974
HG02455	ACB	60.4937620660628
HG02470	ACB	622.742943521916
HG02471	ACB	806.406452374839
HG02476	ACB	70.6303718051155
HG02477	ACB	69.111602967185
HG02479	ACB	631.17975028259
HG02481	ACB	51.9599172178045
HG02484	ACB	938.969359665312
HG02485	ACB	911.774924131376
HG02489	ACB	695.631048979484
HG02496	ACB	1250.13848778672
HG02497	ACB	1047.51229198077
HG02501	ACB	49.2036659610608
HG02502	ACB	56.8511389213294
HG02505	ACB	59.0968963168334
HG02508	ACB	783.939867528609
HG02511	ACB	714.84821815266
HG02536	ACB	55.7834166354746
HG02537	ACB	530.188465474459
HG02541	ACB	66.3202770577825
HG02545	ACB	64.4594310019726
HG02546	ACB	88.8697298045392
HG02549	ACB	67.2868454765439
HG02554	ACB	56.1036290694068
HG02555	ACB	68.9366492586713
HG02557	ACB	71.0789138756857
HG02558	ACB	71.3037276467381
HG02577	ACB	54.8267598931389
HG02580	ACB	59.6554917591356
NA19625	ASW	744.9341134539
NA19648	MXL	793.632126430341
NA19649	MXL	990.320035449565
NA19651	MXL	874.183641603516
NA19652	MXL	1264.09341298101
NA19654	MXL	740.586838520368
NA19655	MXL	813.214744868025
NA19657	MXL	596.766067268313
NA19658	MXL	784.993332752255
NA19660	MXL	753.788955992696
NA19661	MXL	747.732349263687
NA19663	MXL	719.66034493931
NA19664	MXL	779.906051151989
NA19669	MXL	937.158373195596
NA19670	MXL	1157.38661849665
NA19675	MXL	741.327831223047
NA19676	MXL	795.214574707158
NA19678	MXL	1002.88924428099
NA19679	MXL	792.830497582736
NA19681	MXL	902.266250517118
NA19682	MXL	663.935236232128
NA19684	MXL	675.828936186563
NA19685	MXL	748.006897334315
NA19700	ASW	821.604402179276
NA19701	ASW	807.50850061092
NA19703	ASW	738.483168969767
NA19704	ASW	643.371091688035
NA19707	ASW	756.638532062173
NA19711	ASW	825.70026738385
NA19712	ASW	678.133025534563
NA19713	ASW	1051.54393870025
NA19716	MXL	680.835163518557
NA19717	MXL	722.697411233695
NA19719	MXL	647.947552458285
NA19720	MXL	967.087587893778
NA19722	MXL	630.086781531016
NA19723	MXL	590.575215502258
NA19725	MXL	580.813099306394
NA19726	MXL	766.675465762286
NA19728	MXL	721.203471193063
NA19729	MXL	584.442775733321
NA19731	MXL	727.968032698719
NA19732	MXL	1024.16193568508
NA19734	MXL	945.505935633839
NA19735	MXL	789.774433985747
NA19740	MXL	1016.19558853797
NA19741	MXL	1034.90594121212
NA19746	MXL	744.090639749262
NA19747	MXL	736.391807425186
NA19749	MXL	774.555717470264
NA19750	MXL	968.367479711746
NA19752	MXL	973.576619609922
NA19755	MXL	898.628225105301
NA19756	MXL	743.111818320016
NA19758	MXL	1064.61592988727
NA19759	MXL	792.842522707589
NA19761	MXL	662.371033635872
NA19762	MXL	853.961994870771
NA19764	MXL	662.09813243609
NA19770	MXL	725.490593793103
NA19771	MXL	663.49886257611
NA19773	MXL	673.415536459367
NA19774	MXL	927.086721879691
NA19776	MXL	715.530268910093
NA19777	MXL	650.148312601094
NA19779	MXL	811.109485065661
NA19780	MXL	770.776723200403
NA19782	MXL	838.111256850129
NA19783	MXL	1036.1094143485
NA19785	MXL	821.588784847925
NA19786	MXL	552.72925350708
NA19788	MXL	850.60917275368
NA19789	MXL	1289.44669232685
NA19792	MXL	811.65954684209
NA19794	MXL	1042.44021557762
NA19795	MXL	1120.60000363365
NA19818	ASW	928.614629844346
NA19819	ASW	971.152091178655
NA19834	ASW	1160.44956599371
NA19835	ASW	1140.95943056413
NA19900	ASW	1153.52225467078
NA19901	ASW	868.238234089738
NA19904	ASW	811.403975829441
NA19908	ASW	964.270102659789
NA19909	ASW	1039.2906120432
NA19913	ASW	1050.40814995274
NA19914	ASW	826.916094475438
NA19916	ASW	864.073757187281
NA19917	ASW	1188.38034740555
NA19920	ASW	1115.32441208571
NA19921	ASW	933.000036312537
NA19922	ASW	615.034979050821
NA19923	ASW	1095.70897457771
NA19982	ASW	740.438336133059
NA19984	ASW	764.983417446184
NA20126	ASW	481.79705462062
NA20127	ASW	613.995195767575
NA20274	ASW	896.47721875625
NA20276	ASW	576.875259269863
NA20278	ASW	647.630329959163
NA20281	ASW	785.082713892158
NA20282	ASW	754.544296343921
NA20287	ASW	731.11898879498
NA20289	ASW	874.576906725242
NA20291	ASW	697.676895919964
NA20294	ASW	668.144909809697
NA20296	ASW	650.095100840953
NA20298	ASW	1146.96452840905
NA20299	ASW	641.182875210305
NA20314	ASW	777.97889806535
NA20317	ASW	846.430240084107
NA20318	ASW	980.34708772799
NA20320	ASW	708.09684460677
NA20321	ASW	979.420567466736
NA20332	ASW	718.126560002524
NA20334	ASW	876.157482280947
NA20339	ASW	996.107015858975
NA20340	ASW	1140.5419823997
NA20342	ASW	585.462742037279
NA20346	ASW	700.751294857919
NA20348	ASW	589.866562443549
NA20351	ASW	952.604760620996
NA20355	ASW	777.19671798989
NA20356	ASW	697.731128532412
NA20357	ASW	738.713008253927
NA20359	ASW	884.857030485837
NA20362	ASW	680.214891806392
