anc.pop	admx.pop	sex	proportion	norm.proportion	bootstrap
Native_American	MXL	f	0.487	0.483134920634921	6
European	MXL	f	0	0	6
African	MXL	f	0.017	0.0168650793650794	6
Native_American	MXL	m	0	0	6
European	MXL	m	0.473	0.476814516129032	6
African	MXL	m	0.023	0.0231854838709677	6
Native_American	PEL	f	0.437	0.46989247311828	6
European	PEL	f	0.006	0.00645161290322581	6
African	PEL	f	0.022	0.0236559139784946	6
Native_American	PEL	m	0.338	0.31588785046729	6
European	PEL	m	0.197	0.18411214953271	6
African	PEL	m	0	0	6
Native_American	PUR	f	0.133	0.139121338912134	6
European	PUR	f	0.224	0.234309623430962	6
African	PUR	f	0.121	0.126569037656904	6
Native_American	PUR	m	0	0	6
European	PUR	m	0.5	0.478927203065134	6
African	PUR	m	0.022	0.0210727969348659	6
Native_American	ACB	f	0.002	0.00199203187250996	7
European	ACB	f	0	0	7
African	ACB	f	0.5	0.49800796812749	7
Native_American	ACB	m	0	0	7
European	ACB	m	0.116	0.116465863453815	7
African	ACB	m	0.382	0.383534136546185	7
Native_American	ASW	f	0.027	0.0270541082164329	7
European	ASW	f	0.083	0.0831663326653307	7
African	ASW	f	0.389	0.389779559118236	7
Native_American	ASW	m	0.013	0.0129740518962076	7
European	ASW	m	0.117	0.116766467065868	7
African	ASW	m	0.371	0.370259481037924	7
Native_American	CLM	f	0.261	0.275316455696203	7
European	CLM	f	0.152	0.160337552742616	7
African	CLM	f	0.061	0.0643459915611814	7
Native_American	CLM	m	0	0	7
European	CLM	m	0.5	0.476190476190476	7
African	CLM	m	0.025	0.0238095238095238	7
Native_American	MXL	f	0.45	0.491266375545852	7
European	MXL	f	0.008	0.00873362445414847	7
African	MXL	f	0	0	7
Native_American	MXL	m	0	0	7
European	MXL	m	0.499	0.460332103321033	7
African	MXL	m	0.043	0.0396678966789668	7
Native_American	PEL	f	0.5	0.479846449136276	7
European	PEL	f	0	0	7
African	PEL	f	0.021	0.0201535508637236	7
Native_American	PEL	m	0.285	0.297494780793319	7
European	PEL	m	0.194	0.202505219206681	7
African	PEL	m	0	0	7
Native_American	PUR	f	0.13	0.13	7
European	PUR	f	0.24	0.24	7
African	PUR	f	0.13	0.13	7
Native_American	PUR	m	0	0	7
European	PUR	m	0.5	0.5	7
African	PUR	m	0	0	7
Native_American	ACB	f	0.003	0.00298210735586481	8
European	ACB	f	0	0	8
African	ACB	f	0.5	0.497017892644135	8
Native_American	ACB	m	0	0	8
European	ACB	m	0.121	0.121730382293763	8
African	ACB	m	0.376	0.378269617706237	8
Native_American	ASW	f	0.029	0.0301455301455301	8
European	ASW	f	0.048	0.0498960498960499	8
African	ASW	f	0.404	0.41995841995842	8
Native_American	ASW	m	0	0	8
European	ASW	m	0.15	0.144787644787645	8
African	ASW	m	0.368	0.355212355212355	8
Native_American	CLM	f	0.242	0.242	8
