European	African	Native American	category
-0.00236986809998854	0.00318972896409175	-0.000819860864103114	high
-0.00726304167698633	0.00891314059616377	-0.00165009891917726	high
-0.00736926439488744	0.0090453706122664	-0.00167610621737884	high
-0.00816326728563821	0.00988420102772236	-0.00172093374208396	high
-0.002615485438069	0.00394681985310263	-0.00133133441503343	high
-0.00311697845784878	0.00491398218403216	-0.00179700372618325	high
-0.002458355621349	0.00403458819696834	-0.00157623257561915	high
-0.00665221481167977	0.00805711420844946	-0.00140489939676955	high
-0.00873617798945292	0.00984235091579433	-0.00110617292634122	high
-0.00782302745714361	0.00894171802403221	-0.00111869056688846	high
-0.0064508850232784	0.00755676943739014	-0.00110588441411152	high
-0.00196609248772778	0.00222941874576654	-0.000263326258038564	high
-0.00635741995022227	0.00697149103821559	-0.000614071087993218	high
-0.00399938646207204	0.00539034729533905	-0.00139096083326684	high
-0.0037479396191776	0.00503312417823743	-0.00128518455905963	high
-0.00347276399142676	0.00465649783966926	-0.00118373384824232	high
-0.00479717911818683	0.00646427357937573	-0.00166709446118874	high
-0.00316593166557069	0.00277489685449095	0.000391034811079938	high
-0.00303016373402515	0.00452140752466834	-0.00149124379064302	high
-0.00585442763584312	0.00801923671684157	-0.0021648090809983	high
-0.00297142043906767	0.00404141874801123	-0.00106999830894337	high
-0.00579540366940029	0.00681811257978193	-0.00102270891038143	high
-0.00324694724547042	0.00423304674683422	-0.000986099501363712	high
-0.00476441375510467	0.00553785350664626	-0.000773439751541462	high
-0.00413392330635878	0.00559510664029306	-0.00146118333393409	high
-0.00235261864989514	0.00292375807594247	-0.000571139426047175	high
-0.00384758704518942	0.00437111782926081	-0.000523530784071219	high
-0.00532343347326419	0.0063715649547641	-0.00104813148149975	high
-0.00209648990848615	0.00292912565915149	-0.000832635750665153	high
-0.00429154512835564	0.00414247017219693	0.000149074956158853	high
-0.00605401870483424	0.00772954150371463	-0.00167552279888027	high
-0.00407046368795014	0.00436482828689122	-0.000294364598940916	high
-0.00674560294263898	0.00833573774196483	-0.0015901347993257	high
-0.00390507171036134	0.00552393276112673	-0.00161886105076526	high
-0.00377252923602395	0.00482359896373696	-0.00105106972771288	high
-0.00145082237228836	0.00218240677754744	-0.00073158440525891	high
-0.00476641517178317	0.00593900090546073	-0.00117258573367743	high
0.000263414537291506	0.00120470363387915	-0.00146811817117046	high
-0.00406731978648733	0.00544620346185643	-0.00137888367536901	high
-0.00641968273470153	0.00742166713454839	-0.00100198439984666	high
-0.00245270809966802	0.00396399675873593	-0.00151128865906784	high
-0.00142648794427019	0.00210252955504764	-0.000676041610777244	high
-0.00503428314310711	0.00776185058845824	-0.00272756744535101	high
-0.00830987288328311	0.00972670167787726	-0.00141682879459399	high
-0.00460986207062991	0.00534741083821	-0.000737548767579914	high
-0.00263129854226482	0.00297876001974706	-0.000347461477482089	high
-0.00562505423050147	0.00688066715420799	-0.00125561292370636	high
-0.00412534644313053	0.00512743635392854	-0.00100208991079787	high
-0.00527744032812857	0.00682725928414585	-0.00154981895601707	high
-0.00751766931592135	0.00901033558544651	-0.00149266626952499	high
-0.00564002894591123	0.00893441677110551	-0.00329438782519414	high
-0.00531369096911644	0.00727467206234211	-0.00196098109322556	high
-0.00565922339527533	0.00783088046220626	-0.00217165706693079	high
-0.00765874994346613	0.0095129158155095	-0.00185416587204321	high
-0.00414064467401967	0.00515003813640369	-0.00100939346238386	high
-0.00387292788899335	0.00542681835177927	-0.00155389046278579	high
-0.00554453037750299	0.00758145766678942	-0.00203692728928621	high
-0.00336648597559308	0.00453038554125962	-0.00116389956566638	high
-0.00590642095752592	0.00796623090269299	-0.00205980994516693	high
-0.00196224761107533	0.00267408178979933	-0.000711834178723884	high
-0.00671658786182056	0.00705961198373306	-0.00034302412191229	high
-0.00899070562830653	0.0109749363848104	-0.0019842307565037	high
-0.0053589198202813	0.00719980363656947	-0.00184088381628801	high
-0.00660362753160204	0.00861611847601762	-0.00201249094441545	high
-0.00399535795668088	0.00456467521109227	-0.0005693172544112	high
-0.00608585948275422	0.00748108168560879	-0.0013952222028544	high
-0.00276661406120879	0.00422753922368191	-0.00146092516247295	high
-0.0039945441390708	0.00468658947008205	-0.000692045331011103	high
-0.00636297424800753	0.0080929242659542	-0.00172995001794651	high
-0.00671349145860117	0.00764622576300167	-0.000932734304400357	high
-0.00564848335158122	0.00734860825873751	-0.00170012490715618	high
-0.00375440876248773	0.00514114078428329	-0.00138673202179536	high
-0.00579606798707025	0.00785224887632774	-0.00205618088925735	high
-0.0058563863154919	0.00717427702399109	-0.00131789070849908	high
-0.00346237152785672	0.00488127973319585	-0.00141890820533893	high
-0.00384879089953241	0.00548232265094439	-0.00163353175141181	high
-0.00274129685503777	0.00444535004702173	-0.00170405319198378	high
-0.00463164758256082	0.0055181288168753	-0.000886481234314333	high
-0.00632364340659392	0.00890401037553346	-0.00258036696893942	high
-0.00182166628010097	0.00280868567033099	-0.000987019390229847	high
