IID	sex	pop
HG02004	female	PEL
HG01941	male	PEL
NA19787	male	MXL
HG02009	male	ACB
HG01991	male	PEL
NA19737	female	MXL
HG02011	male	ACB
HG01982	male	PEL
HG02002	male	PEL
NA19749	female	MXL
HG01987	male	ACB
HG01895	male	ACB
NA19908	male	ASW
HG01937	male	PEL
HG01915	female	ACB
NA19915	male	ASW
HG01979	male	PEL
HG01944	male	PEL
NA20359	female	ASW
HG01981	female	PEL
HG01925	female	PEL
NA20361	female	ASW
HG01986	male	ACB
HG01932	male	PEL
HG02090	male	PEL
NA20412	female	ASW
HG02054	female	ACB
HG02106	female	PEL
HG02095	female	ACB
HG02146	male	PEL
NA20342	male	ASW
NA20347	male	ASW
HG01948	female	PEL
HG01950	male	PEL
HG02108	female	ACB
HG01955	female	PEL
HG02055	male	ACB
HG01967	male	PEL
HG02144	female	ACB
HG01974	male	PEL
HG02052	female	ACB
NA20296	female	ASW
HG02143	male	ACB
HG02148	female	PEL
NA20316	male	ASW
HG02150	male	PEL
NA20335	male	ASW
HG02287	female	PEL
HG02299	male	PEL
HG02259	male	PEL
HG02302	male	PEL
HG02261	male	PEL
HG02266	female	PEL
HG02273	female	PEL
HG02252	female	PEL
HG02278	female	PEL
HG02257	female	ACB
HG02280	female	ACB
HG02334	male	ACB
HG02285	male	PEL
HG02339	female	ACB
HG02312	female	PEL
HG02317	male	ACB
HG02292	female	PEL
HG02300	male	PEL
HG02256	female	ACB
HG02275	female	PEL
HG02308	female	ACB
HG02282	female	ACB
HG02315	female	ACB
HG02105	female	PEL
HG02322	female	ACB
HG02276	female	PEL
HG02283	male	ACB
HG02288	male	PEL
HG02254	female	PEL
HG02415	female	PEL
HG02303	female	PEL
HG02427	female	ACB
HG02439	male	ACB
HG02343	male	ACB
HG02477	female	ACB
HG02348	female	PEL
HG02484	male	ACB
HG02271	male	PEL
HG02489	male	ACB
HG02307	male	ACB
HG02478	male	ACB
HG02314	male	ACB
HG02480	female	ACB
HG02321	female	ACB
HG02485	female	ACB
HG02497	female	ACB
HG02545	male	ACB
HG02505	female	ACB
HG02449	male	ACB
HG02451	female	ACB
HG02555	female	ACB
HG02470	male	ACB
HG02496	male	ACB
HG02536	male	ACB
HG02511	female	ACB
HG02557	male	ACB
HG02345	female	PEL
HG02420	male	ACB
HG02425	female	PEL
HG02547	male	ACB
HG02502	female	ACB
HG02554	male	ACB
HG02428	male	ACB
HG02559	female	ACB
HG02442	male	ACB
HG02580	female	ACB
NA06985	female	CEU
NA10830	male	CEU
NA10835	male	CEU
NA10842	male	CEU
NA10847	female	CEU
NA10854	female	CEU
NA10859	female	CEU
NA10861	female	CEU
NA06997	female	CEU
NA07022	male	CEU
NA07034	male	CEU
NA07349	male	CEU
NA12348	female	CEU
NA12386	female	CEU
NA12413	male	CEU
NA12761	female	CEU
NA07051	male	CEU
NA12766	male	CEU
NA07056	female	CEU
NA12778	female	CEU
NA07347	male	CEU
NA12812	male	CEU
NA12817	male	CEU
NA12829	male	CEU
NA12843	female	CEU
NA12874	male	CEU
NA12045	male	CEU
NA12057	female	CEU
NA06994	male	CEU
NA12146	male	CEU
NA07000	female	CEU
NA12273	female	CEU
NA07029	male	CEU
NA12329	female	CEU
NA07031	female	CEU
NA12336	female	CEU
NA07048	male	CEU
NA12343	female	CEU
NA07055	female	CEU
NA12716	male	CEU
NA07346	female	CEU
NA11840	female	CEU
NA07435	male	CEU
NA06995	male	CEU
NA18485	male	YRI
NA11892	female	CEU
NA07037	female	CEU
NA18497	male	YRI
NA11917	male	CEU
NA18500	male	YRI
NA11931	female	CEU
NA11993	female	CEU
NA10851	male	CEU
NA10856	male	CEU
NA11893	male	CEU
NA10863	female	CEU
NA11918	female	CEU
NA11920	female	CEU
NA11932	male	CEU
NA11994	male	CEU
NA11830	female	CEU
NA11829	male	CEU
NA11831	male	CEU
NA11843	male	CEU
NA10837	male	CEU
NA11881	male	CEU
NA12005	male	CEU
NA12043	male	CEU
NA12275	female	CEU
NA12144	male	CEU
NA12282	male	CEU
NA12283	female	CEU
NA18505	female	YRI
